Wavelength,Intensity,
449.83,8.04E-03,
450.04,8.10E-03,
450.26,8.15E-03,
450.47,8.20E-03,
450.69,8.24E-03,
450.9,8.29E-03,
451.12,8.31E-03,
451.34,8.36E-03,
451.55,8.41E-03,
451.77,8.44E-03,
451.98,8.50E-03,
452.2,8.55E-03,
452.41,8.58E-03,
452.63,8.62E-03,
452.84,8.65E-03,
453.06,8.71E-03,
453.28,8.75E-03,
453.49,8.78E-03,
453.71,8.84E-03,
453.92,8.92E-03,
454.14,8.96E-03,
454.35,9.01E-03,
454.57,9.10E-03,
454.78,9.14E-03,
455,9.18E-03,
455.21,9.23E-03,
455.43,9.28E-03,
455.64,9.31E-03,
455.86,9.37E-03,
456.07,9.41E-03,
456.29,9.46E-03,
456.5,9.49E-03,
456.72,9.56E-03,
456.94,9.61E-03,
457.15,9.65E-03,
457.37,9.71E-03,
457.58,9.76E-03,
457.8,9.82E-03,
458.01,9.86E-03,
458.23,9.91E-03,
458.44,9.96E-03,
458.66,1.00E-02,
458.87,1.01E-02,
459.09,1.01E-02,
459.3,1.02E-02,
459.52,1.03E-02,
459.73,1.03E-02,
459.95,1.04E-02,
460.16,1.04E-02,
460.38,1.05E-02,
460.59,1.05E-02,
460.81,1.05E-02,
461.02,1.06E-02,
461.24,1.06E-02,
461.45,1.07E-02,
461.67,1.07E-02,
461.88,1.08E-02,
462.1,1.08E-02,
462.31,1.09E-02,
462.52,1.09E-02,
462.74,1.10E-02,
462.95,1.11E-02,
463.17,1.12E-02,
463.38,1.12E-02,
463.6,1.13E-02,
463.81,1.14E-02,
464.03,1.14E-02,
464.24,1.15E-02,
464.46,1.15E-02,
464.67,1.16E-02,
464.89,1.16E-02,
465.1,1.17E-02,
465.32,1.17E-02,
465.53,1.18E-02,
465.75,1.18E-02,
465.96,1.19E-02,
466.17,1.20E-02,
466.39,1.21E-02,
466.6,1.21E-02,
466.82,1.22E-02,
467.03,1.23E-02,
467.25,1.23E-02,
467.46,1.24E-02,
467.68,1.25E-02,
467.89,1.25E-02,
468.1,1.26E-02,
468.32,1.26E-02,
468.53,1.27E-02,
468.75,1.27E-02,
468.96,1.28E-02,
469.18,1.28E-02,
469.39,1.29E-02,
469.61,1.30E-02,
469.82,1.31E-02,
470.03,1.32E-02,
470.25,1.32E-02,
470.46,1.32E-02,
470.68,1.33E-02,
470.89,1.33E-02,
471.11,1.34E-02,
471.32,1.35E-02,
471.53,1.35E-02,
471.75,1.36E-02,
471.96,1.37E-02,
472.18,1.38E-02,
472.39,1.38E-02,
472.6,1.39E-02,
472.82,1.40E-02,
473.03,1.40E-02,
473.25,1.41E-02,
473.46,1.42E-02,
473.67,1.42E-02,
473.89,1.43E-02,
474.1,1.43E-02,
474.32,1.44E-02,
474.53,1.44E-02,
474.74,1.45E-02,
474.96,1.46E-02,
475.17,1.47E-02,
475.39,1.47E-02,
475.6,1.48E-02,
475.81,1.48E-02,
476.03,1.49E-02,
476.24,1.50E-02,
476.46,1.50E-02,
476.67,1.51E-02,
476.88,1.52E-02,
477.1,1.52E-02,
477.31,1.53E-02,
477.53,1.54E-02,
477.74,1.55E-02,
477.95,1.55E-02,
478.17,1.56E-02,
478.38,1.57E-02,
478.59,1.58E-02,
478.81,1.59E-02,
479.02,1.60E-02,
479.24,1.60E-02,
479.45,1.62E-02,
479.66,1.62E-02,
479.88,1.63E-02,
480.09,1.64E-02,
480.3,1.64E-02,
480.52,1.64E-02,
480.73,1.65E-02,
480.94,1.65E-02,
481.16,1.66E-02,
481.37,1.67E-02,
481.59,1.68E-02,
481.8,1.69E-02,
482.01,1.70E-02,
482.23,1.71E-02,
482.44,1.72E-02,
482.65,1.72E-02,
482.87,1.73E-02,
483.08,1.74E-02,
483.29,1.74E-02,
483.51,1.75E-02,
483.72,1.76E-02,
483.93,1.77E-02,
484.15,1.78E-02,
484.36,1.79E-02,
484.57,1.80E-02,
484.79,1.81E-02,
485,1.81E-02,
485.21,1.82E-02,
485.43,1.83E-02,
485.64,1.83E-02,
485.85,1.84E-02,
486.07,1.85E-02,
486.28,1.86E-02,
486.49,1.86E-02,
486.71,1.87E-02,
486.92,1.89E-02,
487.13,1.89E-02,
487.34,1.90E-02,
487.56,1.90E-02,
487.77,1.91E-02,
487.98,1.92E-02,
488.2,1.93E-02,
488.41,1.93E-02,
488.62,1.94E-02,
488.84,1.94E-02,
489.05,1.95E-02,
489.26,1.96E-02,
489.48,1.97E-02,
489.69,1.98E-02,
489.9,2.00E-02,
490.11,2.01E-02,
490.33,2.02E-02,
490.54,2.03E-02,
490.75,2.03E-02,
490.97,2.04E-02,
491.18,2.05E-02,
491.39,2.05E-02,
491.6,2.06E-02,
491.82,2.07E-02,
492.03,2.08E-02,
492.24,2.09E-02,
492.46,2.10E-02,
492.67,2.10E-02,
492.88,2.11E-02,
493.09,2.11E-02,
493.31,2.12E-02,
493.52,2.13E-02,
493.73,2.14E-02,
493.95,2.15E-02,
494.16,2.16E-02,
494.37,2.17E-02,
494.58,2.18E-02,
494.8,2.20E-02,
495.01,2.21E-02,
495.22,2.22E-02,
495.43,2.22E-02,
495.65,2.23E-02,
495.86,2.24E-02,
496.07,2.24E-02,
496.28,2.25E-02,
496.5,2.26E-02,
496.71,2.26E-02,
496.92,2.27E-02,
497.13,2.27E-02,
497.35,2.29E-02,
497.56,2.30E-02,
497.77,2.31E-02,
497.98,2.31E-02,
498.2,2.33E-02,
498.41,2.33E-02,
498.62,2.34E-02,
498.83,2.35E-02,
499.05,2.36E-02,
499.26,2.37E-02,
499.47,2.38E-02,
499.68,2.39E-02,
499.89,2.40E-02,
500.11,2.41E-02,
500.32,2.43E-02,
500.53,2.43E-02,
500.74,2.44E-02,
500.96,2.45E-02,
501.17,2.45E-02,
501.38,2.46E-02,
501.59,2.47E-02,
501.8,2.48E-02,
502.02,2.49E-02,
502.23,2.50E-02,
502.44,2.52E-02,
502.65,2.53E-02,
502.87,2.55E-02,
503.08,2.56E-02,
503.29,2.57E-02,
503.5,2.59E-02,
503.71,2.59E-02,
503.93,2.61E-02,
504.14,2.62E-02,
504.35,2.63E-02,
504.56,2.64E-02,
504.77,2.65E-02,
504.99,2.65E-02,
505.2,2.66E-02,
505.41,2.67E-02,
505.62,2.68E-02,
505.83,2.69E-02,
506.05,2.71E-02,
506.26,2.72E-02,
506.47,2.73E-02,
