   main_id   |        ra        |        dec        |        sp_type        |  B  |  V
"*  24 Sco"  |250.39326462279   |-17.742166550610005|"G7.5II-IIICN1Ba0.5"   |5.994|4.923
"* bet01 Cap"|305.25277749238   |-14.78140760208    |"G9II:+B8p:Si:"        |3.87 |3.08
"* alf01 Cap"|304.41195470044   |-12.50821218603    |"G3Ib"                 |5.34 |4.27
"* alf02 Cap"|304.5135649821425 |-12.544852120195275|"G9III"                |4.51 |3.58
"* nu. Oph"  |269.7566342235884 |-9.773633604669445 |"G9IIIa"               |4.33 |3.34
"* zet Sct"  |275.91491107595   |-8.93448656463     |"G9-IIIbFe-0.5"        |5.619|4.664
"* eps Sct"  |280.88021209176   |-8.2752126752      |"G8IIb"                |5.998|4.889
"* f Aql"    |290.13710917284993|-5.415768030580001 |"G8/K0IV"              |5.927|4.99
"* eps Oph"  |244.58037593556583|-4.692513152746668 |"G9.5IIIbFe-0.5"       |4.21 |3.23
"* bet Sct"  |281.79364256535   |-4.74787304458     |"G4IIa"                |5.31 |4.22
"* l Aql"    |309.5845187022    |-1.10511725043     |"G7.5IIIa"             |5.29 |4.33
"*  74 Oph"  |275.21693196647   |3.37716408215      |"G8III"                |5.764|4.856
"* bet Aql"  |298.8283035123829 |6.406764233985     |"G8IV"                 |4.56 |3.71
"* lam Ser"  |236.61089255068003|7.353068716340001  |"G0-V"                 |5.03 |4.42
"*  71 Oph"  |271.82649749233   |8.73386723942      |"G8III"                |5.592|4.64
"* ksi Aql"  |298.5620063246    |8.461454288359999  |"G9.5IIIb"             |5.759|4.707
"* kap Her A"|242.01885684482002|17.04697752909     |"G7III"                |5.927|4.994
"* bet Sge"  |295.26224564633   |17.476042411220003 |"G8IIIaCN0.5"          |5.43 |4.38
"* alf Sge"  |295.02413054827   |18.01389072819     |"G1II"                 |5.16 |4.38
"* bet Her"  |247.5550013403688 |21.489610745563056 |"G7IIIaFe-0.5"         |3.7  |2.77
"* 113 Her"  |283.68702078975   |22.645075413740003 |"G8III+:+A0.5"         |5.38 |4.6
"* mu.01 Her"|266.61478040032705|27.720711383034715 |"G5IV"                 |4.17 |3.42
"* del CrB"  |237.39852915443   |26.068392863920003 |"G5III-IVFe-1"         |5.43 |4.63
"* ksi Her"  |269.44119030886577|29.24787944585528  |"G8.5III"              |4.64 |3.7
"* ksi CrB"  |245.52426610955   |30.8919959578      |"G9IIIFe-0.5"          |5.833|4.849
"* zet Her"  |250.32150433146228|31.602718703799262 |"G0IV"                 |3.43 |2.8
"* phi Cyg"  |294.84419130185   |30.153321466460007 |"G8III-IV"             |5.642|4.673
"*  31 Vul"  |313.03204253136   |27.096944198560003 |"G7IIIFe-1"            |5.399|4.568
"* eta CrB"  |230.80127230988052|30.287825023864578 |"G2V+G2V"              |5.56 |4.98
"* del Boo"  |228.87567841690498|33.31483124216833  |"G8IIIFe-1"            |4.44 |3.49
"* eta Her"  |250.7240206060716 |38.922254919646385 |"G7IIIFe-1"            |4.42 |3.5
"*  15 Cyg"  |296.06918833997   |37.35435615083999  |"G8III"                |5.83 |4.887
"HD 166208"  |271.86976770227   |43.46188958443     |"G8IIICN-1CH-3"        |5.915|4.997
"* w Vel"    |135.02254062248747|-41.25360734067554 |"G8/K1III+A"           |5.088|4.446
"* d Vel"    |131.09977947559   |-42.64927745762    |"G6III"                |4.917|4.046
"* e Eri"    |49.9818788009275  |-43.069781996785   |"G6V"                  |4.98 |4.27
"V* V415 Car"|102.46380724536418|-53.622450407303056|"G4II"                 |5.323|4.408
"* m Vel"    |147.91945129249   |-46.54762225029    |"G6IIa"                |5.78 |4.58
"* alf Ret"  |63.60612501835416 |-62.47380348899389 |"G8IIIa:"              |4.27 |3.36
"HD  12055"  |29.29199839228    |-47.38527975927    |"G6III-IIIb"           |5.695|4.834
"* chi Eri"  |28.989415693558758|-51.60887759053111 |"G8IIIbCNIV"           |4.55 |3.71
"* k Car"    |140.23672112808   |-62.40463362653    |"G6III"                |5.733|4.8
"* del Phe"  |22.81293372607833 |-49.07270281348056 |"G8.5IIIb"             |4.918|3.935
"* mu. Vel"  |161.69239624144333|-49.420259938983605|"G6III"                |3.59 |2.69
"* l Car"    |146.3117154353821 |-62.50790286462888 |"G5Iab/b"              |5.09 |3.75
"* zet Vol"  |115.45524596810628|-72.60609911449887 |"G9IIIb"               |4.977|3.944
"* bet Phe"  |16.520997989851963|-46.71841069311463 |"G8III"                |4.19 |3.3
"* x Vel"    |159.82663558023043|-55.603267978415836|"G5IIa"                |5.28 |4.267
"* eta02 Hyi"|28.733881019829997|-67.64730317084    |"G8IIIb"               |5.623|4.685
"* mu. Phe"  |10.331547459460834|-46.08498136327806 |"G8III"                |5.56 |4.59
"* x Car"    |167.147453191     |-58.975038633492225|"G5_0-Ia"              |5.09 |3.83
"* z Car"    |166.63511032196   |-62.42411405976001 |"G7.5III"              |5.622|4.606
"HD 102350"  |176.6284285025679 |-61.178399611954156|"G5Ib/II"              |5.01 |4.1
"HD 101570"  |175.22347411844   |-62.090101521689995|"G3Ib"                 |6.0  |4.92
"HD 102839"  |177.48589755951   |-70.2257891191     |"G6Ib"                 |6.333|4.964
"* bet Hyi"  |6.4377931550222804|-77.25424611998604 |"G0V"                  |3.41 |2.79
"* m Cen"    |201.00201120159997|-64.53566985852    |"G5IIb"                |5.35 |4.52
"* gam Aps"  |248.3628438138967 |-78.89714816863112 |"G8III"                |4.783|3.854
"* M Cen"    |206.66407966580374|-51.43275733387334 |"G8/K0III"             |5.586|4.632
"HD 123569"  |212.47839265528   |-53.43894579245    |"G9-III"               |5.675|4.736
"* alf Cen A"|219.90205833170774|-60.83399268831004 |"G2V"                  |0.72 |0.01
"* alf Cen"  |219.9020833333333 |-60.83397222222223 |"G2V+K1V"              |0.4  |-0.1
"* kap Pav"  |284.23762080635   |-67.23349478091    |"G5Iab/b"              |5.08 |4.4
"* del Pav"  |302.1817036316884 |-66.18206743589695 |"G8IV"                 |4.32 |3.56
"* del01 Gru"|337.31739147484666|-43.49556159542195 |"G6/8III"              |5.0  |3.97
"* del TrA"  |243.85946160941205|-63.68568150484638 |"G2Ib-IIa"             |4.943|3.839
"* zet Lup"  |228.07123134275705|-52.099248703500834|"G8III"                |4.33 |3.41
"* kap Nor"  |243.36970863593996|-54.630467514290004|"G8III"                |5.98 |4.94
"* eta Nor"  |240.8037395438433 |-49.22969591545055 |"G8III"                |5.569|4.643
"HD 125628"  |215.65447087458335|-58.45911648111111 |"G9III"                |5.79 |4.94
"*  47 Tau A"|63.48493935442001 |9.263824264009997  |"G3IIIFe-0.5"          |5.84 |4.95
"* eps Dra"  |297.04312691249   |70.26793029824     |"G7IIIbFe-1"           |4.83 |3.91
"*  32 Eri A"|58.57292419497001 |-2.9547332574099996|"G6.5III"              |5.59 |4.7
"*  78 Peg"  |355.99785532465   |29.361455596400003 |"G8IIIb"               |5.94 |4.96
