    main_id    |        ra        |        dec         |     sp_type     |  B  |  V
"*  21 Lyn"    |111.67855088726876|49.21152707020945   |"A0.5Vs"         |4.594|4.61
"* alf Dra"    |211.09732332021125|64.3758696175675    |"A0III"          |3.64 |3.68
"V* ET UMa"    |156.0326953299    |65.56642260365      |"A1:VpSiSrHg"    |4.889|4.93
"*  27 Lyn"    |122.11437885215707|51.50666498681472   |"A2V"            |4.819|4.797
"* alf UMa B"  |165.93166186666667|61.75087308611111   |"A7.5"           |5.26 |4.86
"* e UMa"      |139.04719590063   |54.021857329220005  |"A6V"            |4.995|4.805
"* kap02 Boo"  |213.37086532986   |51.78996745846      |"A7IV"           |4.7  |4.5
"* iot Boo"    |214.04137401169996|51.36723019546999   |"A7V"            |4.95 |4.75
"* zet01 UMa"  |200.98142616882203|54.925359883302775  |"A1.5Vas"        |2.271|2.22
"* g UMa"      |201.30640763875   |54.98795966138889   |"A5V+M3-4V"      |4.18 |4.01
"* eps UMa"    |193.5072899675    |55.95982295694445   |"A1III-IVpkB9"   |1.75 |1.77
"* del UMa"    |183.85649936126705|57.03261697773611   |"A2Vn"           |3.41 |3.32
"* bet UMa"    |165.46033229797294|56.382433649496384  |"A1IVps"         |2.35 |2.37
"* phi UMa"    |148.02647655093364|54.064332289441886  |"A3IV"           |4.602|4.557
"*  26 UMa"    |143.70596174273416|52.05147921795417   |"A0Vn"           |4.501|4.463
"* kap UMa"    |135.90636507404153|47.15652472719766   |"A1Vn"           |3.55 |3.55
"* iot UMa"    |134.8018900723819 |48.04182614451662   |"A6"             |3.33 |3.14
"* nu.02 Boo"  |232.94576269019004|40.89933486302999   |"A2V"            |5.074|4.978
"* gam UMa"    |178.45769715249997|53.69475972916666   |"A0V"            |2.45 |2.44
"* lam Boo"    |214.0959100349329 |46.08830429435917   |"A0Va_lB"        |4.26 |4.18
"*  24 CVn"    |203.61358305917582|49.015971971378896  |"A4V"            |4.82 |4.7
"* gam Boo"    |218.0194653313254 |38.3082480800211    |"A7IV+(n)"       |3.21 |3.02
"* lam UMa"    |154.27408023573   |42.91441380519      |"A1IV"           |3.48 |3.45
"* tau03 Eri"  |45.59791399675917 |-23.624471723482227 |"A3IV-V"         |4.25 |4.09
"* zet Ari"    |48.72540966679999 |21.044447008140004  |"A1V"            |4.858|4.869
"* nu. Tau"    |60.78907977626709 |5.989300702002499   |"A0.5Va"         |3.924|3.883
"* tau09 Eri"  |59.981182366400006|-24.01621588763     |"ApSi"           |4.52 |4.66
"* ome02 Tau"  |64.31525469368    |20.578597379489995  |"A3m"            |5.17 |4.914
"* kap01 Tau"  |66.34235197098376 |22.29387108502889   |"A7IV-V"         |4.366|4.201
"* ups Tau"    |66.576929680205   |22.81358040320972   |"A8Vn"           |4.572|4.282
"* del02 Tau"  |66.02400605484    |17.44413091721      |"A2Vs"           |4.95 |4.8
"* del03 Tau"  |66.37243632776791 |17.927906511884448  |"A2IV-Vs"        |4.369|4.298
"* tet02 Tau"  |67.16559004644    |15.870874649550002  |"A7III"          |3.6  |3.41
"* sig02 Tau"  |69.818759146975   |15.917975305087777  |"A5Vn"           |4.842|4.665
