    main_id    |        ra         |        dec        |       sp_type        |  B  |  V
"* b01 Aqr"    |350.7426076279984  |-20.100582088853056|"K1III"               |5.08 |3.98
"* b02 Aqr"    |351.51160776192575 |-20.642017986579994|"K4.5III"             |5.86 |4.39
"* nu. Aqr"    |317.39853468273077 |-11.371690400280835|"K0III"               |5.46 |4.52
"*  46 Cet"    |21.4051643485      |-14.598785158179998|"K2+III-IIIbCN0.5"    |6.138|4.907
"* zet Cet"    |27.86513061761     |-10.335031066289998|"K0.5III"             |4.86 |3.72
"* eta Eri"    |44.10687184660001  |-8.8981434724      |"K1+IIIb"             |4.99 |3.87
"* ksi Aqr"    |324.4379573858483  |-7.854201596771944 |"K0III"               |4.86 |4.69
"* psi01 Aqr"  |348.97289187323753 |-9.087734712236944 |"K1-IIIFe-0.5"        |5.36 |4.25
"*   3 Cet"    |1.1254948012408332 |-10.509521917923333|"K3Ib"                |6.541|4.924
"* iot Cet"    |4.856976645352915  |-8.82391915982472  |"K1+IIICN0.5"         |4.77 |3.55
"* phi01 Cet"  |11.047500376762915 |-10.609550734169721|"K0III"               |5.773|4.767
"* eta Cet"    |17.14746388517208  |-10.18226442669    |"K2-IIIb"             |4.61 |3.45
"* tet Cet"    |21.005847006805414 |-8.183260897344443 |"K0IIIb"              |4.65 |3.59
"*  33 Psc"    |1.3339215498499999 |-5.7076199163391665|"K0III-IV"            |5.65 |4.61
"HD  10550"    |25.68129813648     |-3.69019953938     |"K2/3IIICNII"         |6.366|4.982
"*  20 Cet"    |13.252059246918751 |-1.1442597826699998|"K5III"               |6.34 |4.76
"*  35 Peg"    |336.96467965109747 |4.695667905682223  |"K1-III-IV"           |5.86 |4.8
"* nu. Peg"    |331.41979568426    |5.05853016411      |"K4III"               |6.28 |4.84
"* tet Psc"    |351.9920611016038  |6.378992306441944  |"K0.5III"             |5.38 |4.3
"* del Psc"    |12.170601310553335 |7.585081917256668  |"K5-III"              |5.95 |4.44
"* mu. Psc"    |22.54631260854125  |6.143821711764999  |"K3III"               |6.22 |4.84
