   main_id   |        ra        |        dec         |       sp_type        |  B  |  V
"* tet CrB"  |233.23242559618694|31.359132267070578  |"B6Vnne"              |4.0  |4.13
"* rho Her A"|260.92056070212993|37.14592402665001   |"B9.5III"             |4.476|4.51
"*   8 Cyg"  |292.9430076608333 |34.452968734166674  |"B3IV"                |4.6  |4.72
"* eta Lyr"  |288.4395350838295 |39.14596601124306   |"B6"                  |4.243|4.398
"* b02 Cyg"  |302.35674608797   |36.839620544        |"B2.5Ve"              |4.8  |4.93
"*   7 CrB A"|234.84447017954   |36.63581105988      |"B7V"                 |4.871|4.979
"* sig Her"  |248.52576011027003|42.43700948629999   |"B9V"                 |4.177|4.196
"*  22 Cyg"  |298.96567047159   |38.48671912339001   |"B5IV"                |4.846|4.946
"* P Cyg"    |304.4466748889121 |38.03293031463083   |"B1-2Ia-0ep"          |5.24 |4.82
"* lam Cyg"  |311.852240262079  |36.49071491221397   |"B5V"                 |4.43 |4.54
"* L01 Pup"  |108.30562750228   |-45.18273759937     |"B9V"                 |4.855|4.874
"* P Pup"    |117.30957333150832|-46.373199649924445 |"B0III"               |3.93 |4.11
"HD  56456"  |108.65891924416667|-48.271928343333336 |"B8/9V"               |4.66 |4.76
"* gam01 Vel"|122.3721564041    |-47.345281503420004 |"B2III"               |3.995|4.173
"V* V Pup"   |119.56016067830998|-49.24491520556     |"B1Vp+B2:"            |4.24 |4.41
"* J Pup"    |118.32565615373706|-48.10293513179667  |"B0.5Ib"              |4.1  |4.24
"HD  64740"  |118.26514367478458|-49.613043412726945 |"B2V"                 |4.4  |4.63
"* B Vel"    |125.63205878624781|-48.49037863888738  |"B2III"               |4.67 |4.82
"* del Pic"  |92.57461867599751 |-54.96864290893555  |"B1/2(III)n"          |4.49 |4.72
"* chi Car"  |119.19466705582   |-52.98234546298     |"B3IV"                |3.267|3.431
"* alf Dor"  |68.49907161292998 |-55.04497896378182  |"B8IIIpSi"            |3.18 |3.28
"* omi Vel"  |130.0733305508675 |-52.921909895522504 |"B3/5(V)"             |3.44 |3.63
"HD  74560"  |130.60577751422   |-53.11398427158306  |"B3IV"                |4.655|4.815
"* H Vel"    |134.08026256965   |-52.72347411847999  |"B5/6IV"              |4.591|4.723
"* kap Eri"  |36.74634213164126 |-47.70384065879168  |"B7IV"                |4.11 |4.25
"* f Car"    |131.67728441808165|-56.769776253820275 |"B3V(n)"              |4.31 |4.49
"* kap Vel"  |140.52840670833334|-55.01066713416667  |"B2IV"                |2.324|2.473
"* b01 Car"  |134.24340492379   |-59.229337619       |"B2V"                 |4.721|4.895
"* d Car"    |130.15428340004624|-59.76100474516722  |"B2III"               |4.182|4.313
